# weight,delay,tau_rise,tau_decay
9.999999921307227424e-03,1.978308645298154422e+00,3.000001031491820735e-01,2.999999811220719348e+00
1.000000013182452546e-02,1.971170676388712018e+00,3.000000959122471333e-01,2.999999753467092578e+00
1.000000010292893815e-02,1.967326888821625763e+00,3.000001009556464981e-01,2.999999768378207143e+00
1.000000022634319266e-02,1.973602946329522601e+00,3.000001031157617515e-01,2.999999661974368070e+00
1.000000011736602509e-02,1.974953309026436621e+00,3.000000993102303060e-01,2.999999805659932406e+00
1.000000007054520704e-02,1.976854848816624655e+00,3.000001031075357205e-01,2.999999772194496650e+00
9.999999963057885910e-03,1.978930124661422596e+00,3.000001035214410194e-01,2.999999781709086211e+00
1.000000007239707986e-02,1.978963286590434301e+00,3.000000973506872781e-01,2.999999870414900904e+00
1.000000004167386075e-02,1.975281991705577056e+00,3.000001378148823283e-01,2.999999709645267298e+00
9.999999949799116827e-03,1.976385309366564424e+00,3.000001222944260193e-01,2.999999802914237623e+00
